frame,steering,throttle,vector_index,x0,y0,x1,y1,flags
49,-0.23999999999999996,0,183,37,39,43,3,0
49,-0.23999999999999996,0,186,54,41,59,0,0
50,-0.25999999999999995,0,182,25,41,26,4,0
50,-0.25999999999999995,0,183,37,39,44,4,0
50,-0.25999999999999995,0,186,54,37,59,0,0
51,-0.27999999999999997,0,182,23,42,25,4,0
51,-0.27999999999999997,0,183,37,39,42,3,0
51,-0.27999999999999997,0,186,54,41,59,0,0
52,-0.3,0,182,23,42,26,4,0
52,-0.3,0,183,37,39,42,3,0
52,-0.3,0,186,54,41,59,0,0
53,-0.32,0,182,25,41,26,4,0
53,-0.32,0,183,37,39,44,4,0
53,-0.32,0,186,54,36,59,0,0
54,-0.34,0,182,23,42,25,4,0
54,-0.34,0,183,37,39,44,4,0
54,-0.34,0,186,54,41,59,0,0
55,-0.36000000000000004,0,182,23,42,26,4,0
55,-0.36000000000000004,0,183,37,39,44,4,0
55,-0.36000000000000004,0,186,54,41,59,0,0
56,-0.38000000000000006,0,182,23,42,25,4,0
56,-0.38000000000000006,0,183,38,37,43,3,0
56,-0.38000000000000006,0,186,54,41,59,0,0
57,-0.4000000000000001,0,182,25,41,25,4,0
57,-0.4000000000000001,0,183,37,39,43,3,0
57,-0.4000000000000001,0,186,54,41,59,0,0
58,-0.4200000000000001,0,182,25,41,25,4,0
58,-0.4200000000000001,0,183,37,39,43,3,0
58,-0.4200000000000001,0,186,54,41,59,0,0
59,-0.4400000000000001,0,182,23,42,25,4,0
59,-0.4400000000000001,0,183,37,39,44,4,0
59,-0.4400000000000001,0,186,54,41,59,0,0
60,-0.46000000000000013,0,182,23,42,26,4,0
60,-0.46000000000000013,0,183,37,39,44,4,0
60,-0.46000000000000013,0,186,54,41,59,0,0
61,-0.48000000000000015,0,182,23,42,25,4,0
61,-0.48000000000000015,0,183,39,35,42,3,0
61,-0.48000000000000015,0,186,54,41,59,0,0
62,-0.5,0,182,23,42,26,4,0
62,-0.5,0,183,38,37,44,4,0
62,-0.5,0,186,55,32,59,0,0
63,-0.5,0,182,23,42,26,4,0
63,-0.5,0,183,39,35,42,3,0
63,-0.5,0,186,54,41,59,0,0
64,-0.5,0,182,23,42,26,4,0
64,-0.5,0,183,39,35,42,3,0
64,-0.5,0,186,54,41,59,0,0
65,-0.5,0,182,23,42,26,4,0
65,-0.5,0,183,37,38,44,4,0
65,-0.5,0,186,54,41,59,0,0
66,-0.5,0,182,23,42,25,4,0
66,-0.5,0,183,37,38,44,4,0
66,-0.5,0,186,54,41,59,0,0
67,-0.5,0,182,23,42,26,4,0
67,-0.5,0,183,37,38,44,4,0
67,-0.5,0,186,54,41,59,0,0
68,-0.5,0,182,23,42,26,4,0
68,-0.5,0,183,39,35,42,3,0
68,-0.5,0,186,55,33,59,0,0
69,-0.5,0,182,23,42,26,4,0
69,-0.5,0,183,37,39,43,3,0
69,-0.5,0,186,54,41,59,0,0
70,-0.5,0,182,23,42,26,4,0
70,-0.5,0,183,37,39,43,3,0
70,-0.5,0,186,54,41,59,0,0
71,-0.5,0,182,23,42,25,4,0
71,-0.5,0,183,37,39,44,4,0
71,-0.5,0,186,54,41,59,0,0
72,-0.5,0,182,25,41,25,4,0
72,-0.5,0,183,38,37,43,3,0
72,-0.5,0,186,54,41,59,0,0
73,-0.5,0,182,25,41,26,4,0
73,-0.5,0,183,38,37,43,4,0
73,-0.5,0,186,54,41,59,0,0
74,-0.5,0,182,23,42,26,4,0
74,-0.5,0,183,38,37,43,3,0
74,-0.5,0,186,53,42,59,0,0
75,-0.5,0,182,23,42,26,4,0
75,-0.5,0,183,38,37,42,4,0
75,-0.5,0,186,54,42,59,0,0
76,-0.5,0,182,23,42,26,5,0
76,-0.5,0,183,38,36,44,4,0
76,-0.5,0,186,54,42,59,0,0
77,-0.5,0,182,23,42,25,4,0
77,-0.5,0,183,38,36,44,4,0
77,-0.5,0,186,53,42,59,0,0
78,-0.5,0,182,23,42,25,4,0
78,-0.5,0,183,38,36,43,4,0
78,-0.5,0,186,54,42,59,0,0
79,-0.5,0,182,23,42,25,4,0
79,-0.5,0,183,38,36,43,4,0
79,-0.5,0,186,54,42,59,0,0
80,-0.5,0,182,23,42,26,5,0
80,-0.5,0,183,37,39,43,4,0
80,-0.5,0,186,53,42,59,0,0
81,-0.5,0,182,23,42,26,5,0
81,-0.5,0,183,37,39,43,4,0
81,-0.5,0,186,54,42,59,0,0
82,-0.5,0,182,23,42,26,5,0
82,-0.5,0,183,38,36,42,4,0
82,-0.5,0,186,53,42,59,0,0
83,-0.5,0,182,23,43,26,5,0
83,-0.5,0,183,37,39,43,4,0
83,-0.5,0,186,54,42,59,0,0
84,-0.5,0,182,22,43,26,5,0
84,-0.5,0,183,37,39,43,4,0
84,-0.5,0,186,53,42,59,0,0
85,-0.5,0,182,23,42,26,5,0
85,-0.5,0,183,38,36,44,5,0
85,-0.5,0,186,53,42,59,0,0
